Category,Biller,Messages
DTH,Airtel DigitalTv,[AD-AIRDTH] Recharge your suspended Airtel DigitalTV ID 3005294022 with your rental and watch all your package channels. Recharge Online or from nearest recharge dealer.
DTH,Airtel DigitalTv, Validity of your Airtel DigitalTV ID 3005294022 expire on 22-Jan-2020. Your rental is Rs.185. Recharge with Rs.235 & get Rs.10 cash back. http://bit.ly/2mXYFcv
DTH,Airtel DigitalTv, Due date for Airtel Digital TV ID 3005294022 is on 22-Jan-2020. Your rental is Rs.185. Get Rs20 CASHBACK via Airtel Payment Bank T&C. Recharge  bit.ly/2VyQRiA
DTH,Airtel DigitalTv, Recharge your suspended Airtel DigitalTV ID 3005294022 with your rental and watch all your package channels. Recharge Online or from nearest recharge dealer.
DTH,Airtel DigitalTv, Validity of your Airtel DigitalTV ID 3005294022 expire on 22-Jan-2020. Your rental is Rs.185. Recharge with Rs.235 & get Rs.10 cash back. http://bit.ly/2mXYFcv
DTH,Airtel DigitalTv, Due date for Airtel Digital TV ID 3005294022 is on 22-Jan-2020. Your rental is Rs.185. Get Rs20 CASHBACK via Airtel Payment Bank T&C. Recharge  bit.ly/2VyQRiA
DTH,Airtel DigitalTv, Recharge your suspended Airtel DigitalTV ID 3005294022 with your rental and watch all your package channels. Recharge Online or from nearest recharge dealer.
DTH,Airtel DigitalTv, Validity of  Airtel DigitalTV ID 3005294022 expire on 22-Jan-2020. Your rental is Rs.185. Recharge with Rs.235 & get Rs.10 cash back. http://bit.ly/2mXYFcv
DTH,Airtel DigitalTv, Due date for Airtel Digital TV ID 3005294022 is on 22-Jan-2020. Your rental is Rs.185. Get Rs20 CASHBACK via Airtel Payment Bank T&C. Recharge  bit.ly/2VyQRiA
DTH,Airtel DigitalTv, Recharge your suspended Airtel DigitalTV ID 3005294022 with your rental and watch all your package channels. Recharge Online or from nearest recharge dealer.
DTH,Airtel DigitalTv, Airtel DigitalTV ID 3005294022 expire on 22-Jan-2020. Your rental is Rs.185. Recharge with Rs.235 & get Rs.10 cash back. http://bit.ly/2mXYFcv
DTH,Airtel DigitalTv, Due date for Airtel Digital TV ID 3005294022 is on 22-Jan-2020. Your rental is Rs.185. Get Rs20 CASHBACK via Airtel Payment Bank T&C. 
DTH,Airtel DigitalTv, Recharge  suspended Airtel DigitalTV ID 3005294022 with  rental and watch all your package channels.
Electricity,BESCOM,[AX-IPAYTM] Your bill for BESCOM - 8026806890 of Rs. 1180 is generated and is due on 20th Feb 2020. Proceed to pay your bill now https://p-y.tm/63B-XgB. Ignore if already paid.
Electricity,BESCOM,[59039000] Bill Paid for Bangalore Electricity (BESCOM) Customer ID / Account ID 8026806890. Amount - Rs.1038.00. BBPS Ref#:  BD01CAAY84LG. Operator Ref#: WPIHDD07.  Details: https://amzn.in/d/f3OLoI7
Electricity,BESCOM,[TM-PHONPE] BESCOM Bangalore Bill Due! Your bill of Rs.1039 is due soon. Pay instantly with PhonePe https://phon.pe/br_f1svrf0 .Please ignore if already paid.
Electricity,BESCOM,[AX-IPAYTM] Your bill for BESCOM - 8026806890 of Rs. 1180 is generated and is due on 20th Feb 2020. Proceed to pay your bill now https://p-y.tm/63B-XgB. Ignore if already paid.
Electricity,BESCOM,[59039000] Bill Paid for Bangalore Electricity (BESCOM) Customer ID / Account ID 8026806890. Amount - Rs.1038.00. BBPS Ref#:  BD01CAAY84LG. Operator Ref#: WPIHDD07.  Details: https://amzn.in/d/f3OLoI7
Electricity,BESCOM,[59039000] Your Bangalore electricity bill for Rs.1038.00 for Customer ID / Account ID 8026806890 is due on 20 Jan 2020. Pay at http://amzn.in/d/127IK5O Unsubscribe at http://amzn.in/d/5pAsVAk
Electricity,BESCOM,[TM-PHONPE] Payment of Rs.1077 successful for BESCOM Bangalore Electricity bill (8026806890) via PhonePe  (Txn Id: N1908131541001296719748).://phon.pe/bdqrifbg
Electricity,BESCOM,[TM-PHONPE] Payment of Rs.1077 successful for BESCOM Bangalore Electricity bill (8026806890) via PhonePe  (Txn Id: N1908131541001296719748).
Electricity,BESCOM, Your bill for BESCOM - 8026806890 of Rs. 1180 is generated and is due on 20th Feb 2020. Proceed to pay your bill now https://p-y.tm/63B-XgB. Ignore if already paid.
Electricity,BESCOM, Bill Paid for Bangalore Electricity (BESCOM) Customer ID / Account ID 8026806890. Amount - Rs.1038.00. BBPS Ref#:  BD01CAAY84LG. Operator Ref#: WPIHDD07.  Details: https://amzn.in/d/f3OLoI7
Electricity,BESCOM, BESCOM Bangalore Bill Due! Your bill of Rs.1039 is due soon. Pay instantly with PhonePe https://phon.pe/br_f1svrf0 .Please ignore if already paid.
Electricity,BESCOM, Your bill for BESCOM - 8026806890 of Rs. 1180 is generated and is due on 20th Feb 2020. Proceed to pay your bill now https://p-y.tm/63B-XgB. Ignore if already paid.
Electricity,BESCOM, Bill Paid for Bangalore Electricity (BESCOM) Customer ID / Account ID 8026806890. Amount - Rs.1038.00. BBPS Ref#:  BD01CAAY84LG. Operator Ref#: WPIHDD07.  Details: https://amzn.in/d/f3OLoI7
Electricity,BESCOM, Your Bangalore electricity bill for Rs.1038.00 for Customer ID / Account ID 8026806890 is due on 20 Jan 2020. Pay at http://amzn.in/d/127IK5O Unsubscribe at http://amzn.in/d/5pAsVAk
Electricity,BESCOM, Payment of Rs.1077 successful for BESCOM Bangalore Electricity bill (8026806890) via PhonePe  (Txn Id: N1908131541001296719748).://phon.pe/bdqrifbg
Electricity,BESCOM,  bill for BESCOM - 8026806890 of Rs. 1180 is generated and is due on 20th Feb 2020. Proceed to pay your bill now https://p-y.tm/63B-XgB.
Electricity,BESCOM, Bill Paid for Bangalore Electricity (BESCOM) Customer ID / Account ID 8026586890. Amount - Rs.1038.00. BBPS Ref#:  BD01CAAY84LG. Operator Ref#: WPIHDD07.  Details: https://amzn.in/d/f3OLoI7
Electricity,BESCOM, BESCOM Bangalore Bill Due!  bill of Rs.1039 is due soon. Pay instantly with PhonePe https://phon.pe/br_f1svrf0 .
Electricity,BESCOM,  BESCOM - 8026806890 of Rs. 1180 is generated and is due on 20th Feb 2020. Proceed to pay your bill now https://p-y.tm/63B-XgB. 
Electricity,BESCOM, Bill Paid for Bangalore Electricity (BESCOM) Customer ID / Account ID 8026806890. Amount - Rs.1038.00. BBPS Ref#:  BD01CAAY84LG. Operator Ref#: WPIHDD07.  Details: https://amzn.in/d/f3OLoI7
Electricity,BESCOM, Bangalore electricity bill for Rs.1038.00 for Customer ID / Account ID 8026806890 is due on 20 Jan 2020. Pay at http://amzn.in/d/127IK5O Unsubscribe at http://amzn.in/d/5pAsVAk
Electricity,BESCOM, Payment of Rs.1077 successful for BESCOM Bangalore Electricity bill (8026806890) via PhonePe  (Txn Id: N190813154100129632658).://phon.pe/bdqrifbg
Electricity,BESCOM, Payment of Rs.1362 successful for BESCOM Bangalore Electricity bill (8026806890) via PhonePe  (Txn Id: N1908131541001296719748).
Electricity,BESCOM, Payment of Rs.2654 successful for BESCOM Bangalore Electricity bill (8026806890) via PhonePe  (Txn Id: N1908131541001296712589).
Electricity,BESCOM, Payment of Rs.1200 successful for BESCOM Bangalore Electricity bill (8026806890) via PhonePe  (Txn Id: N1908131541001296745621).
Electricity,BESCOM, Payment of Rs.3512 successful for BESCOM Bangalore Electricity bill (8026806890) via PhonePe  (Txn Id: N1908131541001296720589).
Electricity,TNEB,Electricity charges Rs.290 for SC.No.04834005745 is due on 17/12/2019. Pay online at www.tnebnet.org/awp/login. Save Electricity.
Electricity,TNEB,Electricity charges Rs.590 for SC.No.04855043657 is due on 1/12/2019. Pay online at www.tnebnet.org/awp/login. Save Electricity.
Electricity,TNEB,Electricity charges Rs.320 for SC.No.04434283729 is due on 19/12/2019. Pay online at www.tnebnet.org/awp/login. Save Electricity.
Electricity,TNEB,Electricity charges Rs.290 for SC.No.04483747585 is due on 08/12/2019. Pay online at www.tnebnet.org/awp/login. Save Electricity.
Electricity,TNEB,Electricity charges Rs.410 for SC.No.04455632756 is due on 20/12/2019. Pay online at www.tnebnet.org/awp/login. Save Electricity.
Electricity,TNEB,Electricity charges Rs.550 for SC.No.04856474548 is due on 12/12/2019. Pay online at www.tnebnet.org/awp/login. Save Electricity.
Electricity,BESCOM,[59039000] Your Bangalore electricity bill for Rs.1038.00 for Customer ID / Account ID 8026806890 is due on 20 Jan 2020. Pay at http://amzn.in/d/127IK5O Unsubscribe at http://amzn.in/d/5pAsVAk
Electricity,BESCOM, Your Bangalore electricity bill for Rs.1038.00 for Customer ID / Account ID 8026806890 is due on 20 Jan 2020. Pay at http://amzn.in/d/127IK5O Unsubscribe at http://amzn.in/d/5pAsVAk
Electricity,BESCOM,  Bangalore electricity bill for Rs.1038.00 for Customer ID / Account ID 8026806890 is due on 20 Jan 2020. Pay at http://amzn.in/d/127IK5O Unsubscribe at http://amzn.in/d/5pAsVAk
Postpaid,Airtel,[59039000] Your Airtel postpaid bill for Rs.499.82 for  9739785621 is due on 14 jan 2020. Pay at http://amzn.in/d/2UykDbD Unsubscribe at http://amzn.in/d/36Z81uZ
Postpaid,Airtel,[59039000] Your Airtel postpaid bill for Rs.352.82 for  9756295621 is due on 20 Jan 2020. Pay at http://amzn.in/d/2UykDbD Unsubscribe at http://amzn.in/d/36Z81uZ
Postpaid,Airtel, Your Airtel postpaid bill for Rs.352.82 for  9739992361 is due on 3 feb 2020. Pay at http://amzn.in/d/2UykDbD Unsubscribe at http://amzn.in/d/36Z81uZ
Postpaid,Airtel, Your Airtel postpaid bill for Rs.399.99 for  8259995621 is due on 14 jan 2020. Pay at http://amzn.in/d/2UykDbD Unsubscribe at http://amzn.in/d/36Z81uZ
Postpaid,Airtel,[59039000] Your Airtel postpaid bill for Rs.352.82 for  9739995621 is due on 14 Jan 2020. Pay at http://amzn.in/d/2UykDbD Unsubscribe at http://amzn.in/d/36Z81uZ
Postpaid,Airtel, Your Airtel postpaid bill for Rs.352.82 for  9739925621 is due on 10 jan 2020. Pay at http://amzn.in/d/2UykDbD Unsubscribe at http://amzn.in/d/36Z81uZ
Postpaid,Airtel, Your Airtel postpaid bill for Rs.499.82 for  9739209621 is due on 05 feb 2020. Pay at http://amzn.in/d/2UykDbD Unsubscribe at http://amzn.in/d/36Z81uZ
Postpaid,Airtel, Your Airtel postpaid bill for Rs.550.82 for  9739995621 is due on 05 jan 2020. Pay at http://amzn.in/d/2UykDbD Unsubscribe at http://amzn.in/d/36Z81uZ
Postpaid,Airtel, Your Airtel postpaid bill for Rs.352.82 for  9739036621 is due on 03 mar 2020. Pay at http://amzn.in/d/2UykDbD Unsubscribe at http://amzn.in/d/36Z81uZ
Postpaid,Airtel, Airtel postpaid bill for Rs.299.82 for  9739995621 is due on 14 Jan 2020. Pay at http://amzn.in/d/2UykDbD Unsubscribe at http://amzn.in/d/36Z81uZ
Postpaid,Airtel, Your Airtel postpaid bill for Rs.899.82 for  9243995621 is due on 08 jan 2020. Pay at http://amzn.in/d/2UykDbD Unsubscribe at http://amzn.in/d/36Z81uZ
Postpaid,Airtel, Your Airtel postpaid bill for Rs.499 for  9739036621 is due on 03 mar 2020. Pay at http://amzn.in/d/2UykDbD Unsubscribe at http://amzn.in/d/36Z81uZ
Postpaid,Airtel, Airtel postpaid bill for Rs.500 for  9256095621 is due on 14 Jan 2020. Pay at http://amzn.in/d/2UykDbD Unsubscribe at http://amzn.in/d/36Z81uZ
Postpaid,Airtel, Your Airtel postpaid bill for Rs.699.00 for  9365295621 is due on 01 jan 2020. Pay at http://amzn.in/d/2UykDbD Unsubscribe at http://amzn.in/d/36Z81uZ
Postpaid,Airtel, Your Airtel postpaid bill for Rs.250 for  9730002321 is due on 03 mar 2020. Pay at http://amzn.in/d/2UykDbD Unsubscribe at http://amzn.in/d/36Z81uZ
Postpaid,Airtel, Your Airtel postpaid bill for Rs.599 for  9243263621 is due on 20 feb 2020. Pay at http://amzn.in/d/2UykDbD Unsubscribe at http://amzn.in/d/36Z81uZ
Postpaid,Airtel, Your Airtel postpaid bill for Rs.499 for  9739063981 is due on 05 mar 2020. Pay at http://amzn.in/d/2UykDbD Unsubscribe at http://amzn.in/d/36Z81uZ
Postpaid,Airtel, Airtel postpaid bill for Rs.500 for  9854265621 is due on 25 Jan 2020. Pay at http://amzn.in/d/2UykDbD Unsubscribe at http://amzn.in/d/36Z81uZ
Postpaid,Airtel, Your Airtel postpaid bill for Rs.500 for  9232698541 is due on 03 jun 2020. Pay at http://amzn.in/d/2UykDbD Unsubscribe at http://amzn.in/d/36Z81uZ
Postpaid,Airtel, Your Airtel postpaid bill for Rs.299 for  9730269361 is due on 03 mar 2020. Pay at http://amzn.in/d/2UykDbD Unsubscribe at http://amzn.in/d/36Z81uZ
Prepaid,Airtel,Your Airtel Prepaid plan of Rs. 48 for Mobile No. 7339019910 will expire tomorrow. Click to recharge now https://p-y.tm/i9l-i14. Ignore if recharged.
Prepaid,Airtel,Your Airtel Prepaid plan of Rs. 35 for Mobile Number 7358875720 will expire tomorrow. Proceed to recharge now on Paytm https://p-y.tm/kV-i2br. Ignore if already recharged.
Prepaid,Airtel,"Paid Rs.48  to Paytm Airtel Mobile Recharge at Aug 13, 2019 20:06:08 . Order ID: 8986633719 . Updated Balance: Paytm Wallet- Rs 53.02"
Prepaid,Airtel,Your Airtel Prepaid plan of Rs. 49 for Mobile Number 9677492536 will expire tomorrow. Proceed to recharge now on Paytm https://p-y.tm/kV-i2br. Ignore if already recharged.
Prepaid,Airtel,Your Airtel Prepaid plan of Rs. 48 for Mobile No. 7339019910 will expire tomorrow. Click to recharge now https://p-y.tm/i9l-i14. Ignore if recharged.
Prepaid,Airtel,Your Airtel Prepaid plan of Rs. 35 for Mobile Number 7358875720 will expire tomorrow. Proceed to recharge now on Paytm https://p-y.tm/kV-i2br. Ignore if already recharged.
Prepaid,Airtel,Your Airtel Prepaid plan of Rs. 48 for Mobile Number 9677492536 will expire tomorrow. Proceed to recharge now on Paytm https://p-y.tm/kV-i2br. Ignore if already recharged.
Prepaid,Airtel,Your Airtel Prepaid plan of Rs. 45 for Mobile Number 7358875720 will expire tomorrow. Proceed to recharge now on Paytm https://p-y.tm/kV-i2br. Ignore if already recharged.
Prepaid,Airtel,Your Airtel Prepaid plan of Rs. 60 for Mobile Number 9256492536 will expire tomorrow. Proceed to recharge now on Paytm https://p-y.tm/kV-i2br. Ignore if already recharged.
Prepaid,Airtel,Your Airtel Prepaid plan of Rs. 25 for Mobile No. 7302589910 will expire tomorrow. Click to recharge now https://p-y.tm/i9l-i14. Ignore if recharged.
Prepaid,Airtel,Your Airtel Prepaid plan of Rs. 100 for Mobile Number 7352365020 will expire tomorrow. Proceed to recharge now on Paytm https://p-y.tm/kV-i2br. Ignore if already recharged.
Prepaid,Airtel,Your Airtel Prepaid plan of Rs. 98 for Mobile Number 9600023636 will expire tomorrow. Proceed to recharge now on Paytm https://p-y.tm/kV-i2br. Ignore if already recharged.
Prepaid,Airtel,Your Airtel Prepaid plan of Rs.105 for Mobile Number 7010547714 will expire tomorrow. Proceed to recharge now on Paytm https://p-y.tm/kV-i2br. Ignore if already recharged.
Prepaid,Airtel,"Alert!Outgoing services on Airtel Mobile 9677492536 will stop on 11-Dec-18.To continue services, recharge with your favourite unlimited pack.Dial *121*51#"
Prepaid,Airtel,"Reminder! Outgoing services on Airtel Mobile 9677492536 will stop tomorrow.To continue services, recharge with your favourite unlimited pack.Dial *121*51#"
Prepaid,Airtel,"Alert!Outgoing services on Airtel Mobile 9677492536 will stop on 11-Dec-18.To continue services, recharge with your favourite unlimited pack.Dial *121*51#"
Prepaid,Airtel,"Alert! To restart outgoing and data services on Airtel Mobile 9677492536, recharge with Unlimited or SMART Pack. For pack details, dial *121*51#"
Prepaid,Airtel,"Alert!Outgoing services on Airtel Mobile 9677492536 will stop on 15-Jan-19.To continue services, recharge with your favourite unlimited pack.Dial *121*51#"
Prepaid,Airtel,"Outgoing services on Airtel 9677492536 will stop on 10-Feb-19. To continue services, recharge with unlimited or smart pack. Dial *121*51#.Ignore if recharged."
Prepaid,Airtel,"Outgoing services on Airtel 9677492536 will stop on 10-Feb-19. To continue services, recharge with unlimited or smart pack. Dial *121*51#.Ignore if recharged."
Prepaid,Airtel,"Reminder!Outgoing services on Airtel 9677492536 will stop tomorrow.To continue services, recharge with unlimited or smart pack.Dial *121*51#.Ignore if recharged"
Prepaid,Airtel,"Airtel Unlimited Pack on 9677492536 ends TODAY.To avoid service disruption, recharge with Unlimited pack.To buy,call 12181 or dial *121*51#.Ignore if recharged"
Prepaid,Airtel,"Airtel Unlimited Pack ends on 07-Apr-19. If not recharged, Rs23 will deduct on 07-Apr-19 from balance for 28day validity.To buy dial *121*51#.Ignore if recharged"
Prepaid,Airtel,"Airtel Unlimited Pack ends on 07-Apr-19. If not recharged, Rs23 will deduct on 07-Apr-19 from balance for 28day validity.To buy dial *121*51#.Ignore if recharged"
Prepaid,Airtel,"Airtel Unlimited Pack ends tomorrow. If not recharged,Rs23 will deduct on 07-Apr-19 from balance for 28day validity.Buy Pack, dial *121*51#.Ignore if recharged"
Prepaid,Airtel,"Airtel Unlimited Pack ends today. If not recharged,Rs23 will deduct on 07-Apr-19 from balance for 28day validity. Buy Pack, dial *121*51#.Ignore if recharged"
Prepaid,Airtel,"Airtel Unlimited Pack ends on 05-May-19. If not recharged, Rs23 will deduct on 05-May-19 from balance for 28day validity.To buy dial *121*51#.Ignore if recharged"
Prepaid,Airtel,"Airtel Unlimited Pack ends today. If not recharged,Rs23 will deduct on 05-May-19 from balance for 28day validity. Buy Pack, dial *121*51#.Ignore if recharged"
Prepaid,Airtel,"Airtel Unlimited Pack ends on 02-Jun-19. If not recharged, Rs23 will deduct on 02-Jun-19 from balance for 28day validity.To buy dial *121*51#.Ignore if recharged"
Prepaid,Airtel,"Airtel Unlimited Pack ends tomorrow. If not recharged,Rs23 will deduct on 02-Jun-19 from balance for 28day validity.Buy Pack, dial *121*51#.Ignore if recharged"
Prepaid,Airtel,"Airtel Unlimited Pack ends on 30-Jun-19. If not recharged, Rs23 will deduct on 30-Jun-19 from balance for 28day validity.To buy dial *121*51#.Ignore if recharged"
Prepaid,Airtel,"Airtel Unlimited Pack ends on 30-Jun-19. If not recharged, Rs23 will deduct on 30-Jun-19 from balance for 28day validity.To buy dial *121*51#.Ignore if recharged"
Prepaid,Airtel,"Airtel Unlimited Pack ends tomorrow. If not recharged,Rs23 will deduct on 30-Jun-19 from balance for 28day validity.Buy Pack, dial *121*51#.Ignore if recharged"
Prepaid,Airtel,"Airtel Unlimited Pack ends today. If not recharged,Rs23 will deduct on 30-Jun-19 from balance for 28day validity. Buy Pack, dial *121*51#.Ignore if recharged"
Prepaid,Airtel,"Airtel Unlimited Pack ends on 28-Jul-19. If not recharged, Rs23 will deduct on 28-Jul-19 from balance for 28day validity.To buy dial *121*51#.Ignore if recharged"
Prepaid,Airtel,"Airtel Unlimited Pack ends on 28-Jul-19. If not recharged, Rs23 will deduct on 28-Jul-19 from balance for 28day validity.To buy dial *121*51#.Ignore if recharged"
Prepaid,Airtel,Airtel Pack ends on 22-Sep-19. Thereafter services can be used after recharge. Recharge with unlimited pack .Ignore if recharged
Prepaid,Airtel,"Unlimited Pack validity is 22-Sep-19.Thereafter services can be used after recharge with unlimited pack.For details,Call 12181 or dial *121*51#.Ignore if done"
Prepaid,Airtel,"Unlimited Pack validity ends tomorrow.To avoid service disruption,recharge with unlimited pack today. Ignore if recharged."
Prepaid,Airtel,Unlimited Pack ends TODAY.Recharge with your favourite Unlimited Pack to avoid service stoppage. Ignore if recharged
Prepaid,Airtel,"Alert! To restart outgoing and data services on Airtel Mobile 9677492536, Recharge with Unlimited or SMART Pack. For pack details, dial *121*51#"
Prepaid,Airtel,Airtel Pack ends on 18-Nov-19. Thereafter services can be used after recharge. Recharge with unlimited pack .Ignore if recharged
Prepaid,Airtel,"Unlimited Pack validity ends tomorrow.To avoid service disruption,recharge with unlimited pack today. Ignore if recharged."
Prepaid,Airtel,"Alert! To restart outgoing and data services on Airtel Mobile 9677492536, Recharge with Unlimited or SMART Pack. For pack details, dial *121*51#"
Prepaid,Airtel,"Airtel Pack is Expiring.Recharge with Rs399 to get unlimited calls to all networks, daily 1.5GB and 100 SMS for 56 days.bit.ly/31U2rs8.Ignore if done"
Prepaid,Airtel,"Outgoing service on your Airtel Mobile has expired. To restart the services, recharge now. Dial *121*51#.Ignore if already recharged."
Prepaid,Airtel,Unlimited Pack ends TODAY.Recharge with your favourite Unlimited Pack to avoid service stoppage. Ignore if recharged
Prepaid,Airtel,"Outgoing service on your Airtel Mobile has expired. To restart the services, recharge now. Dial *121*51#.Ignore if already recharged."
Prepaid,Airtel,AIRTEL ALERT! You have not renewed your Unlimited Plan. Recharge now to enjoy uninterrupted calls. You can also recharge at airtel.in or thru Airtel Thanks App
Prepaid,Airtel,"Incoming call service for your Airtel mobile is about to barred. To continue, recharge with Unlimited or SMART Pack. Dial *121*51#.Ignore if already recharged."
Prepaid,Airtel,Your Airtel pack ends on 03-Feb-20. Recharge today without losing your current validity: bit.ly/31U2rs8
Prepaid,Airtel,Your Airtel Unlimited Pack validity is till 03-Feb-20. Recharge with ease at bit.ly/31U2rs8 without losing your current validity.
Prepaid,Airtel,"Your Airtel pack ends TOMORROW. If not recharged, outgoing services will be stopped. Recharge today without losing your current validity: bit.ly/31U2rs8"
Prepaid,Airtel,Your Airtel pack ends TODAY. Recharge with your favourite Unlimited Pack for continued services - bit.ly/31U2rs8
Prepaid,Airtel,"Your Airtel pack ends in 2 days. If not recharged, Rs23 will be deducted on 03-Jan-20 for 28days validity. Recharge here: bit.ly/31U2rs8. Ignore if recharged"
Prepaid,Airtel,"Alert!Outgoing services on Airtel Mobile 9944135831 will stop on 16-Jan-19.To continue services, recharge with unlimited or smart pack.Dial *121*51#"
Prepaid,Airtel,"Alert! To restart outgoing and data services on Airtel Mobile 9944135831, Recharge with Unlimited or SMART Pack. For pack details, call 12181 or dial *121*51#"
Prepaid,Airtel,"Alert! To restart outgoing and data services on Airtel Mobile 9944135831, Recharge with Unlimited or SMART Pack. For pack details, call 12181 or dial *121*51#"
Prepaid,Airtel,"Alert! Incoming services on Airtel Mobile 9944135831 will stop on 31-Jan-19. Recharge with Unlimited or SMART Pack.For pack details, call 12181 or dial *121*51#"
Prepaid,Airtel,"URGENT!Due to no recharge,services on your Airtel 9944135831 have expired.Buy your favorite unlimited/SMART PACK.Call 12181 or dial *121*51#.Ignore if recharged"
Prepaid,Airtel,"Due to no recharge, Airtel services on 9944135831 are not working.To start, recharge with Unlimited/SMART PACK.Call 12181 or dial *121*51#.Ignore if done"
Prepaid,Airtel,"Airtel Pack is valid till 20-Jun-19.If not recharged,Rs23 will deduct on 20-Jun-19 from balance for 28day validity.To recharge,dial *121*51#.Ignore if recharged"
Prepaid,Airtel,"Alert! To restart outgoing and data services on Airtel Mobile 9944135831, Recharge with Unlimited or SMART Pack. For pack details, dial *121*51#"
Prepaid,Airtel,"Your Airtel pack ends on 03-Jan-20. If not recharged, Rs23 will be deducted on 03-Jan-20 for 28days validity.Recharge here: bit.ly/31U2rs8. Ignore if recharged"
Prepaid,Airtel,"Your Airtel pack ends in 2 days. If not recharged, Rs23 will be deducted on 03-Jan-20 for 28days validity. Recharge here: bit.ly/31U2rs8. Ignore if recharged"
Prepaid,Airtel,Your Airtel pack ends TODAY. Pls recharge else Rs23 will be deducted & validity will be extended for 28days. Recharge here: bit.ly/31U2rs8. Ignore if recharged to
Prepaid,Airtel,"Airtel Pack is Expiring!.Recharge with Rs698 to get Unlimited calls to all networks,daily 2GB and 100 SMS for 84 days.bit.ly/2RafbJd.Ignore if done"
Prepaid,Jio,"Your current plan MRP 448 for Jio number 9080093100 will expire on 30-Jul-19 17:00 Hrs. After current plan expiry, your services will stop working if you do not recharge with a plan. To recharge, click https://www.jio.com/recharge_singleclick?planId=1003873&utm_source=NE&utm_medium=SMS&utm_campaign=PPlan_expiry.Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans."
Prepaid,Idea,Your Idea Prepaid plan of Rs. 35 for Mobile Number 9345928102 will expire tomorrow. Proceed to recharge now on Paytm https://p-y.tm/8pD6-pO. Ignore if already recharged.
Prepaid,Idea,Your Idea Prepaid plan of Rs. 35 for Mobile Number 9345928102 will expire tomorrow. Proceed to recharge now on Paytm https://p-y.tm/8pD6-pO. Ignore if already recharged.
Prepaid,Idea,Your Idea Prepaid plan of Rs. 35 for Mobile Number 9845617890 will expire tomorrow. Proceed to recharge now on Paytm https://p-y.tm/8pD6-pO. Ignore if already recharged.
Prepaid,Idea,All Outgoing services on your Idea number have expired.All Incoming Services will be stopped on 27-Sep-2019.Recharge now to restart services.
Prepaid,Idea,Alert! Your Outgoing validity will STOP tomorrow.Rs 24 will be adjusted to extend validity by 28 days.Dial*369*240# to stop debit.Ignore if already recharged
Prepaid,Jio,"Your plan for Jio no.8637677647 will expire on 06-01-2020 To avoid STOPPAGE of services , you need to recharge IMMEDIATELY. Click www.jio.com/r/i52esd1w3 or visit your nearest Jio retailer.For other plans, call 1991."
Prepaid,Jio,"Your plan for Jio no.9876677647 will expire on 02-01-2020 To avoid STOPPAGE of services , you need to recharge IMMEDIATELY. Click www.jio.com/r/i7hR6WsN4 or visit your nearest Jio retailer.For other plans, call 1991."
Prepaid,Jio,"Your plan MRP 349 for Jio Number 8637677647 has expired on 08-May-19 22:35 Hrs. If you have already recharged, your new plan will get automatically activated. If you have not recharged, your services will stop working. To recharge click,  http://tiny.jio.com/RechargePlans . Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans."
